iter	Passed	Remaining
0	14	7394
1	23	5767
2	31	5276
3	39	4867
4	46	4598
5	54	4450
6	61	4330
7	68	4219
8	75	4117
9	80	3967
10	86	3858
11	92	3777
12	98	3696
13	104	3628
14	109	3554
15	115	3488
16	121	3443
17	126	3393
18	131	3335
19	137	3307
20	144	3286
21	161	3519
22	171	3558
23	179	3564
24	186	3552
25	195	3568
26	202	3550
27	209	3525
28	215	3506
29	222	3480
30	228	3462
31	235	3443
32	242	3436
33	248	3400
34	253	3366
35	257	3320
36	263	3293
37	269	3281
38	276	3272
39	283	3256
40	289	3239
41	294	3213
42	300	3190
43	304	3153
44	308	3123
45	313	3095
46	319	3074
47	323	3050
48	328	3019
49	332	2995
50	337	2974
51	342	2954
52	347	2934
53	352	2909
54	356	2887
55	361	2867
56	366	2848
57	371	2830
58	375	2810
59	380	2789
60	385	2773
61	390	2756
62	395	2743
63	400	2727
64	405	2716
65	411	2705
66	416	2693
67	421	2678
68	426	2666
69	432	2656
70	438	2646
71	443	2637
72	449	2626
73	454	2619
74	460	2609
75	466	2601
76	471	2592
77	476	2579
78	481	2566
79	486	2556
80	491	2543
81	496	2532
82	501	2520
83	506	2510
84	511	2499
85	516	2488
86	522	2478
87	526	2466
88	532	2457
89	538	2450
90	544	2445
91	550	2440
92	556	2434
93	561	2427
94	567	2419
95	572	2409
96	577	2400
97	582	2389
98	587	2380
99	592	2370
100	597	2358
101	601	2347
102	606	2337
103	611	2328
104	616	2318
105	620	2308
106	626	2300
107	631	2292
108	637	2285
109	642	2278
110	649	2274
111	654	2268
112	660	2261
113	666	2255
114	671	2248
115	677	2241
116	682	2233
117	687	2226
118	693	2220
119	699	2214
120	704	2206
121	709	2198
122	714	2191
123	720	2184
124	726	2179
125	732	2174
126	738	2169
127	744	2163
128	750	2158
129	756	2153
130	762	2147
131	768	2141
132	774	2136
133	779	2129
134	785	2124
135	791	2119
136	797	2113
137	803	2107
138	809	2102
139	815	2096
140	821	2091
141	827	2085
142	833	2080
143	839	2074
144	845	2068
145	851	2065
146	858	2060
147	863	2053
148	869	2047
149	874	2039
150	879	2032
151	883	2023
152	888	2014
153	892	2005
154	897	1997
155	902	1989
156	906	1979
157	910	1971
158	915	1963
159	920	1955
160	924	1945
161	928	1937
162	933	1929
163	938	1921
164	942	1912
165	946	1905
166	952	1898
167	957	1892
168	962	1884
169	966	1876
170	971	1869
171	975	1861
172	980	1853
173	985	1846
174	990	1839
175	995	1832
176	1000	1824
177	1005	1818
178	1010	1812
179	1015	1806
180	1021	1799
181	1026	1793
182	1032	1788
183	1038	1783
184	1044	1777
185	1050	1772
186	1055	1767
187	1062	1762
188	1068	1757
189	1073	1751
190	1079	1746
191	1085	1741
192	1091	1736
193	1098	1732
194	1104	1728
195	1111	1724
196	1117	1719
197	1124	1714
198	1130	1710
199	1137	1705
200	1143	1700
201	1149	1695
202	1155	1689
203	1160	1684
204	1166	1678
205	1171	1672
206	1178	1668
207	1183	1662
208	1189	1656
209	1195	1650
210	1201	1645
211	1207	1640
212	1213	1635
213	1218	1629
214	1224	1623
215	1230	1617
216	1235	1610
217	1240	1604
218	1245	1598
219	1251	1593
220	1257	1587
221	1262	1581
222	1268	1576
223	1275	1571
224	1281	1566
225	1288	1562
226	1296	1559
227	1303	1554
228	1309	1549
229	1315	1544
230	1321	1538
231	1327	1533
232	1334	1528
233	1340	1523
234	1345	1517
235	1351	1511
236	1357	1506
237	1364	1501
238	1369	1495
239	1376	1490
240	1381	1484
241	1387	1479
242	1393	1473
243	1399	1468
244	1404	1462
245	1410	1456
246	1416	1451
247	1422	1445
248	1428	1439
249	1433	1433
250	1439	1428
251	1445	1422
252	1450	1416
253	1456	1410
254	1461	1404
255	1467	1398
256	1472	1392
257	1478	1386
258	1484	1381
259	1491	1376
260	1496	1370
261	1502	1364
262	1508	1359
263	1514	1353
264	1519	1347
265	1524	1341
266	1529	1335
267	1535	1329
268	1540	1322
269	1545	1316
270	1550	1310
271	1556	1304
272	1561	1298
273	1565	1291
274	1571	1285
275	1576	1279
276	1581	1273
277	1588	1268
278	1594	1262
279	1599	1256
280	1604	1250
281	1609	1244
282	1615	1238
283	1621	1232
284	1626	1226
285	1647	1232
286	1653	1227
287	1659	1221
288	1665	1215
289	1671	1210
290	1676	1204
291	1683	1199
292	1690	1193
293	1696	1188
294	1702	1183
295	1708	1177
296	1714	1171
297	1720	1166
298	1726	1160
299	1733	1155
300	1739	1150
301	1746	1144
302	1752	1139
303	1757	1133
304	1762	1127
305	1768	1120
306	1773	1115
307	1779	1109
308	1785	1103
309	1791	1098
310	1798	1092
311	1803	1087
312	1809	1081
313	1815	1075
314	1821	1069
315	1827	1064
316	1834	1059
317	1840	1053
318	1846	1047
319	1853	1042
320	1859	1037
321	1866	1031
322	1874	1027
323	1880	1021
324	1885	1015
325	1892	1010
326	1899	1004
327	1904	998
328	1910	992
329	1916	987
330	1921	981
331	1927	975
332	1932	969
333	1937	962
334	1942	956
335	1947	950
336	1952	944
337	1958	938
338	1969	935
339	1982	932
340	1994	929
341	2005	926
342	2011	920
343	2016	914
344	2021	908
345	2026	902
346	2031	895
347	2035	889
348	2041	883
349	2046	877
350	2052	871
351	2056	864
352	2061	858
353	2066	852
354	2070	845
355	2075	839
356	2079	833
357	2084	826
358	2089	820
359	2093	814
360	2098	808
361	2103	802
362	2109	796
363	2115	790
364	2121	784
365	2127	778
366	2132	772
367	2138	767
368	2144	761
369	2150	755
370	2156	749
371	2162	744
372	2168	738
373	2175	732
374	2182	727
375	2189	721
376	2195	716
377	2200	710
378	2206	704
379	2211	698
380	2217	692
381	2223	686
382	2229	680
383	2235	675
384	2241	669
385	2246	663
386	2252	657
387	2257	651
388	2263	646
389	2269	640
390	2275	634
391	2281	628
392	2286	622
393	2292	616
394	2298	610
395	2303	605
396	2309	599
397	2315	593
398	2320	587
399	2325	581
400	2331	575
401	2336	569
402	2342	563
403	2347	557
404	2353	551
405	2358	545
406	2363	540
407	2369	534
408	2387	531
409	2393	525
410	2399	519
411	2405	513
412	2412	508
413	2419	502
414	2425	496
415	2431	491
416	2438	485
417	2445	479
418	2452	474
419	2458	468
420	2464	462
421	2470	456
422	2475	450
423	2482	445
424	2488	439
425	2493	433
426	2498	427
427	2504	421
428	2510	415
429	2515	409
430	2521	403
431	2526	397
432	2531	391
433	2536	385
434	2541	379
435	2546	373
436	2551	367
437	2556	361
438	2562	356
439	2567	350
440	2572	344
441	2578	338
442	2583	332
443	2588	326
444	2594	320
445	2599	314
446	2605	308
447	2609	302
448	2614	297
449	2620	291
450	2625	285
451	2630	279
452	2636	273
453	2642	267
454	2647	261
455	2654	256
456	2659	250
457	2665	244
458	2670	238
459	2675	232
460	2680	226
461	2685	220
462	2690	214
463	2695	209
464	2699	203
465	2705	197
466	2709	191
467	2714	185
468	2719	179
469	2724	173
470	2731	168
471	2736	162
472	2742	156
473	2747	150
474	2753	144
475	2758	139
476	2765	133
477	2771	127
478	2777	121
479	2783	115
480	2789	110
481	2795	104
482	2801	98
483	2807	92
484	2813	87
485	2819	81
486	2825	75
487	2831	69
488	2837	63
489	2842	58
490	2847	52
491	2852	46
492	2857	40
493	2861	34
494	2866	28
495	2871	23
496	2876	17
497	2881	11
498	2886	5
499	2891	0
